,Name,Brand,Price €,ImageUrl,ProductUrl
6007,Sneakers mit Totenkopf-Applikation,Philipp Plein,535 €,https://cdn-images.farfetch-contents.com/15/50/99/77/15509977_28048308_300.jpg,https://www.farfetch.com/de/shopping/men/philipp-plein-sneakers-mit-totenkopf-applikation-item-15509977.aspx
6008,Sneakers mit Totenkopf,Philipp Plein,535 €,https://cdn-images.farfetch-contents.com/15/50/99/76/15509976_28048303_300.jpg,https://www.farfetch.com/de/shopping/men/philipp-plein-sneakers-mit-totenkopf-item-15509976.aspx
6009,Sneakers mit Totenkopf,Philipp Plein,535 €,https://cdn-images.farfetch-contents.com/15/50/99/74/15509974_28048298_300.jpg,https://www.farfetch.com/de/shopping/men/philipp-plein-sneakers-mit-totenkopf-item-15509974.aspx
6010,Sneakers mit Camouflage-Print,Philipp Plein,535 €,https://cdn-images.farfetch-contents.com/15/50/99/71/15509971_28304924_300.jpg,https://www.farfetch.com/de/shopping/men/philipp-plein-sneakers-mit-camouflage-print-item-15509971.aspx
6011,Knöchelhohe Schnürstiefel,Marni,681 €,https://cdn-images.farfetch-contents.com/15/50/97/04/15509704_28720126_300.jpg,https://www.farfetch.com/de/shopping/men/marni-knochelhohe-schnurstiefel-item-15509704.aspx
6012,'Moc 3' Sneakers,Nike,90 €,https://cdn-images.farfetch-contents.com/15/50/95/94/15509594_27937267_300.jpg,https://www.farfetch.com/de/shopping/men/nike-moc-3-sneakers-item-15509594.aspx
6013,'Tabi' Penny-Loafer,Maison Margiela,769 €,https://cdn-images.farfetch-contents.com/15/50/94/77/15509477_27815379_300.jpg,https://www.farfetch.com/de/shopping/men/maison-margiela-tabi-penny-loafer-item-15509477.aspx
6014,'S-Brentha WL' Jeans-Sneakers,Diesel,170 €,https://cdn-images.farfetch-contents.com/15/50/92/29/15509229_27906665_300.jpg,https://www.farfetch.com/de/shopping/men/diesel-s-brentha-wl-jeans-sneakers-item-15509229.aspx
6015,'S-Brentha WL' Jeans-Sneakers,Diesel,170 €,https://cdn-images.farfetch-contents.com/15/50/92/28/15509228_27906660_300.jpg,https://www.farfetch.com/de/shopping/men/diesel-s-brentha-wl-jeans-sneakers-item-15509228.aspx
6016,'Helvio' Sneakers,Bally,350 €,https://cdn-images.farfetch-contents.com/15/50/91/56/15509156_27798171_300.jpg,https://www.farfetch.com/de/shopping/men/bally-helvio-sneakers-item-15509156.aspx
6017,'Helvio' Sneakers,Bally,350 €,https://cdn-images.farfetch-contents.com/15/50/91/55/15509155_27800126_300.jpg,https://www.farfetch.com/de/shopping/men/bally-helvio-sneakers-item-15509155.aspx
6018,'Maxim' Sneakers,Bally,375 €,https://cdn-images.farfetch-contents.com/15/50/91/53/15509153_27800122_300.jpg,https://www.farfetch.com/de/shopping/men/bally-maxim-sneakers-item-15509153.aspx
6019,'Maxim' Sneakers,Bally,375 €,https://cdn-images.farfetch-contents.com/15/50/91/52/15509152_27800120_300.jpg,https://www.farfetch.com/de/shopping/men/bally-maxim-sneakers-item-15509152.aspx
6020,'Bikki' Sneakers,Bally,350 €,https://cdn-images.farfetch-contents.com/15/50/91/51/15509151_27800117_300.jpg,https://www.farfetch.com/de/shopping/men/bally-bikki-sneakers-item-15509151.aspx
6021,'Bumper' Sneakers,LANVIN,444 €,https://cdn-images.farfetch-contents.com/15/50/87/20/15508720_28077237_300.jpg,https://www.farfetch.com/de/shopping/men/lanvin-bumper-sneakers-item-15508720.aspx
6022,Klassische Stiefeletten,Maison Margiela,890 €,https://cdn-images.farfetch-contents.com/15/50/87/06/15508706_27887617_300.jpg,https://www.farfetch.com/de/shopping/men/maison-margiela-klassische-stiefeletten-item-15508706.aspx
6023,Sneakers mit Logo-Print,Dsquared2,360 €,https://cdn-images.farfetch-contents.com/15/50/85/66/15508566_27887607_300.jpg,https://www.farfetch.com/de/shopping/men/dsquared2-sneakers-mit-logo-print-item-15508566.aspx
6024,Gesteppte 'MX-720-818' Sneakers,Nike,189 €,https://cdn-images.farfetch-contents.com/15/50/85/63/15508563_27745980_300.jpg,https://www.farfetch.com/de/shopping/men/nike-gesteppte-mx-720-818-sneakers-item-15508563.aspx
6025,Klassische Chelsea-Boots,Zadig&Voltaire,340 €,https://cdn-images.farfetch-contents.com/15/50/84/89/15508489_28391326_300.jpg,https://www.farfetch.com/de/shopping/men/zadigvoltaire-klassische-chelsea-boots-item-15508489.aspx
6026,Klassische Chelsea-Boots,Zadig&Voltaire,340 €,https://cdn-images.farfetch-contents.com/15/50/84/88/15508488_28391324_300.jpg,https://www.farfetch.com/de/shopping/men/zadigvoltaire-klassische-chelsea-boots-item-15508488.aspx
6027,'Air Max 2090' Sneakers,Nike,180 €,https://cdn-images.farfetch-contents.com/15/50/83/40/15508340_27882427_300.jpg,https://www.farfetch.com/de/shopping/men/nike-air-max-2090-sneakers-item-15508340.aspx
6028,Sneakers mit FF-Muster,Fendi,695 €,https://cdn-images.farfetch-contents.com/15/50/82/44/15508244_27969876_300.jpg,https://www.farfetch.com/de/shopping/men/fendi-sneakers-mit-ff-muster-item-15508244.aspx
