,Brand,Reference,Google Search Code,Category,Name,Product Page URL,Price(Euros),Product Url,Product Price
10,O'NEILL,0A2570-7507 Chateau Be,0A2570-7507,Shorts,LB FRIDAY NIGHT CHINO SHORTS,,,https://www.oneill.com/eu/en/friday-night-chino-shorts/0A2570-7507-128.html,€32.19
11,O'NEILL,0A2570-9010 Black Out,0A2570-9010,Shorts,LB FRIDAY NIGHT CHINO SHORTS,,,https://www.oneill.com/eu/en/friday-night-chino-shorts/0A2570-9010-104.html,€32.19
12,O'NEILL,0A2572-5056 Ink Blue,0A2572-5056,Shorts,LB CALI BEACH CARGO SHORTS,,,https://www.oneill.com/eu/en/cali-beach-cargo-shorts/0A2572-5056-104.html,€32.19
13,O'NEILL,0A2572-5209 Walton Blu,0A2572-5209,Shorts,LB CALI BEACH CARGO SHORTS,,,https://www.oneill.com/be/en/cali-beach-cargo-shorts/0A2572-5209-104.html,€32.19
14,O'NEILL,0A2572-6077 Winter Mos,0A2572-6077,Shorts,LB CALI BEACH CARGO SHORTS,,,https://www.oneill.com/eu/en/cali-beach-cargo-shorts/0A2572-6077-140.html,€32.19
15,O'NEILL,0A2572-6920 GREEN AOP,0A2572-6920,Shorts,LB CALI BEACH CARGO SHORTS,,,https://www.oneill.com/eu/en/cali-beach-cargo-shorts/0A2572-6920-104.html,€32.19
16,O'NEILL,0A2572-9980 BLACK AOP,0A2572-9980,Shorts,LB CALI BEACH CARGO SHORTS,,,https://www.oneill.com/gb/en/cali-beach-cargo-shorts/0A2572-9980-128.html,Not able to scrape Price.
17,O'NEILL,0A2576-5056 Ink Blue,0A2576-5056,Shorts,LB 5-POCKET SHORTS,,,https://www.oneill.com/eu/en/5-pocket-denim-shorts/0A2576-5056-104.html,Not able to scrape Price.
18,O'NEILL,0A2578-6920 GREEN AOP,0A2578-6920,Shorts,LB JOGGER SHORTS,,,https://www.oneill.com/eu/en/sweat-shorts/0A2578-6920-128.html,Not able to scrape Price.
19,O'NEILL,0A2582-6151 Salina Gre,0A2582-6151,Shorts,LB FRIDAY NIGHT CHINO SHORTS,,,https://www.oneill.com/eu/en/friday-night-chino-shorts/0A2582-6151-104.html,Not able to scrape Price.
20,O'NEILL,9A2576-5014 Dazzling B,9A2576-5014,Shorts,LB SURFS OUT SHORTS,,,https://www.oneill.com/eu/en/surfs-out-shorts/9A2576-5014-104.html,Not able to scrape Price.
21,O'NEILL,9P1174-6900 GREEN AOP,9P1174-6900,Superfleeces,LB SHERPA HZ HOODIE - CAMO,,,https://www.oneill.com/nl/en/sherpa-camo-half-zip-hoodie-superfleece/9P1174-6900-128.html,€48.99
22,O'NEILL,8P1482-5056 Ink Blue,8P1482-5056,Sweatshirts,LB THE O'NEILL RIDE SWEATSHIRT,,,Url Not Found,No Url to scrape price
23,O'NEILL,8P3662-9010 Black Out,8P3662-9010,Sweatshirts,LB LOGO CREW SWEATSHIRT,,,https://www.oneill.com/eu/en/logo-crew-sweatshirt/8P3662-9010-116.html,€39.99
